
HELLO IICS

FST info: dumpfile test.fst opened for output.
======================================
=         SIM started                =
= seed        = 1
= transaction = 100
= push_rate   = 50
======================================
tmp1 = 0x1; x = 5.960464477539062500000000000000e-08, tmp2 = 0x1
tmp1 = 0x400; x = 6.103515625000000000000000000000e-05; tmp2 = 0x0
tmp1 = 0x7bff; x = 6.550400000000000000000000000000e+04; tmp2 = 0x0
tmp1 = 0x7bfe; x = 6.547200000000000000000000000000e+04; tmp2 = 0x0
tmp1 = 0x7ffe; x = 0.000000000000000000000000000000e+00; tmp2 = 0x0
  164 ns sample           0 OK it match: a = 0x8438:-6.43730163574218750000e-05; b = 0x3986:6.90429687500000000000e-01; z = 0x3986:6.90429687500000000000e-01, expt = 0x3986:6.90365314483642578125e-01
  168 ns sample           1 OK it match: a = 0xc5c:2.66075134277343750000e-04; b = 0x7ce:1.19090080261230468750e-04; z = 0xe50:3.85284423828125000000e-04, expt = 0xe50:3.85165214538574218750e-04
  172 ns sample           2 OK it match: a = 0x97c7:-1.89876556396484375000e-03; b = 0x2cc6:7.45849609375000000000e-02; z = 0x2ca7:7.26928710937500000000e-02, expt = 0x2ca7:7.26861953735351562500e-02
  176 ns sample           3 OK it match: a = 0x62f3:8.89500000000000000000e+02; b = 0x67c3:1.98700000000000000000e+03; z = 0x699e:2.87600000000000000000e+03, expt = 0x699e:2.87650000000000000000e+03
  180 ns sample           4 OK it match: a = 0x485f:8.74218750000000000000e+00; b = 0x6547:1.35100000000000000000e+03; z = 0x6550:1.36000000000000000000e+03, expt = 0x6550:1.35974218750000000000e+03
  184 ns sample           5 OK it match: a = 0x2089:8.85772705078125000000e-03; b = 0x9c7e:-4.38690185546875000000e-03; z = 0x1c94:4.47082519531250000000e-03, expt = 0x1c94:4.47082519531250000000e-03
  188 ns sample           6 OK it match: a = 0x1845:2.08473205566406250000e-03; b = 0x305d:1.36352539062500000000e-01; z = 0x306e:1.38427734375000000000e-01, expt = 0x306e:1.38437271118164062500e-01
  192 ns sample           7 OK it match: a = 0x2191:1.08718872070312500000e-02; b = 0xd36e:-5.94375000000000000000e+01; z = 0xd36e:-5.94375000000000000000e+01, expt = 0xd36e:-5.94266281127929687500e+01
  196 ns sample           8 ERROR they don't match: a = 0x428f:3.27929687500000000000e+00; b = 0x9d3c:-5.11169433593750000000e-03; z = 0x428e:3.27734375000000000000e+00, expt = 0x428c:3.27418518066406250000e+00
  200 ns sample           9 OK it match: a = 0x2c9:4.24981117248535156250e-05; b = 0xf5e3:-2.41120000000000000000e+04; z = 0xf5e3:-2.41120000000000000000e+04, expt = 0xf5e3:-2.41119999575018882751e+04
  204 ns sample          10 OK it match: a = 0xc2dc:-3.42968750000000000000e+00; b = 0x722c:1.26400000000000000000e+04; z = 0x722c:1.26400000000000000000e+04, expt = 0x722c:1.26365703125000000000e+04
  208 ns sample          11 ERROR they don't match: a = 0x205f:8.53729248046875000000e-03; b = 0xb011:-1.27075195312500000000e-01; z = 0xb79a:-4.75097656250000000000e-01, expt = 0xaf96:-1.18537902832031250000e-01
  212 ns sample          12 OK it match: a = 0x55d1:9.30625000000000000000e+01; b = 0x3f00:1.75000000000000000000e+00; z = 0x55ed:9.48125000000000000000e+01, expt = 0x55ed:9.48125000000000000000e+01
  216 ns sample          13 OK it match: a = 0x94d1:-1.17588043212890625000e-03; b = 0x71ff:1.22800000000000000000e+04; z = 0x71ff:1.22800000000000000000e+04, expt = 0x71ff:1.22799988241195678711e+04
  220 ns sample          14 OK it match: a = 0x7231:1.26800000000000000000e+04; b = 0x4c66:1.75937500000000000000e+01; z = 0x7233:1.26960000000000000000e+04, expt = 0x7233:1.26975937500000000000e+04
  224 ns sample          15 OK it match: a = 0x3c4a:1.07226562500000000000e+00; b = 0x6395:9.70500000000000000000e+02; z = 0x6397:9.71500000000000000000e+02, expt = 0x6397:9.71572265625000000000e+02
  228 ns sample          16 OK it match: a = 0x5c25:2.65250000000000000000e+02; b = 0xab17:-5.53894042968750000000e-02; z = 0x5c25:2.65250000000000000000e+02, expt = 0x5c25:2.65194610595703125000e+02
  232 ns sample          17 OK it match: a = 0xb6a9:-4.16259765625000000000e-01; b = 0x6ec3:6.92400000000000000000e+03; z = 0x6ec3:6.92400000000000000000e+03, expt = 0x6ec3:6.92358374023437500000e+03
  236 ns sample          18 OK it match: a = 0xb97:2.31623649597167968750e-04; b = 0x239c:1.48620605468750000000e-02; z = 0x23ba:1.50909423828125000000e-02, expt = 0x23ba:1.50936841964721679688e-02
  240 ns sample          19 OK it match: a = 0x5bf6:2.54750000000000000000e+02; b = 0x4600:6.00000000000000000000e+00; z = 0x5c13:2.60750000000000000000e+02, expt = 0x5c13:2.60750000000000000000e+02
  244 ns sample          20 OK it match: a = 0x3c28:1.03906250000000000000e+00; b = 0x42a7:3.32617187500000000000e+00; z = 0x445e:4.36718750000000000000e+00, expt = 0x445e:4.36523437500000000000e+00
  248 ns sample          21 OK it match: a = 0x466e:6.42968750000000000000e+00; b = 0x5105:4.01562500000000000000e+01; z = 0x51d3:4.65937500000000000000e+01, expt = 0x51d3:4.65859375000000000000e+01
  252 ns sample          22 OK it match: a = 0x6aa8:3.40800000000000000000e+03; b = 0x55a4:9.02500000000000000000e+01; z = 0x6ad5:3.49800000000000000000e+03, expt = 0x6ad5:3.49825000000000000000e+03
  256 ns sample          23 OK it match: a = 0x54ee:7.88750000000000000000e+01; b = 0xbd19:-1.27441406250000000000e+00; z = 0x54da:7.76250000000000000000e+01, expt = 0x54da:7.76005859375000000000e+01
  260 ns sample          24 ERROR they don't match: a = 0xd39c:-6.08750000000000000000e+01; b = 0x6498:1.17600000000000000000e+03; z = 0x645d:1.11700000000000000000e+03, expt = 0x645b:1.11512500000000000000e+03
  264 ns sample          25 OK it match: a = 0x25eb:2.31170654296875000000e-02; b = 0x77cb:3.19200000000000000000e+04; z = 0x77cb:3.19200000000000000000e+04, expt = 0x77cb:3.19200231170654296875e+04
  268 ns sample          26 OK it match: a = 0x71b8:1.17120000000000000000e+04; b = 0x41e5:2.94726562500000000000e+00; z = 0x71b8:1.17120000000000000000e+04, expt = 0x71b8:1.17149472656250000000e+04
  272 ns sample          27 OK it match: a = 0x10b1:5.72681427001953125000e-04; b = 0x2667:2.50091552734375000000e-02; z = 0x268d:2.55889892578125000000e-02, expt = 0x268d:2.55818367004394531250e-02
  276 ns sample          28 ERROR they don't match: a = 0xfece:0.00000000000000000000e+00; b = 0x720b:1.23760000000000000000e+04; z = 0xfe0d:0.00000000000000000000e+00, expt = 0x720b:1.23760000000000000000e+04
  280 ns sample          29 OK it match: a = 0x3220:1.91406250000000000000e-01; b = 0x3c07:1.00683593750000000000e+00; z = 0x3ccb:1.19824218750000000000e+00, expt = 0x3ccb:1.19824218750000000000e+00
  284 ns sample          30 ERROR they don't match: a = 0xfd2e:0.00000000000000000000e+00; b = 0x4901:1.00078125000000000000e+01; z = 0xfd2e:0.00000000000000000000e+00, expt = 0x4901:1.00078125000000000000e+01
  288 ns sample          31 OK it match: a = 0x69a3:2.88600000000000000000e+03; b = 0xe598:-1.43200000000000000000e+03; z = 0x65ae:1.45400000000000000000e+03, expt = 0x65ae:1.45400000000000000000e+03
  292 ns sample          32 OK it match: a = 0xa2e0:-1.34277343750000000000e-02; b = 0xcc37:-1.68593750000000000000e+01; z = 0xcc38:-1.68750000000000000000e+01, expt = 0xcc38:-1.68728027343750000000e+01
  296 ns sample          33 OK it match: a = 0x5097:3.67187500000000000000e+01; b = 0x8a5:1.41739845275878906250e-04; z = 0x5097:3.67187500000000000000e+01, expt = 0x5097:3.67188917398452758789e+01
